service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at,drive_min
amtrak,NER,185,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T16:07:00Z,2026-07-13T16:07:00Z,2026-07-13T16:05:00Z,2026-07-13T16:05:00Z,2026-07-13T12:55:35Z,63.1
amtrak,NER,185,2026-07-13,WAS,Washington Union Station,2026-07-13T16:52:00Z,2026-07-13T16:52:00Z,2026-07-13T16:52:00Z,2026-07-13T16:47:00Z,2026-07-13T12:55:35Z,63.1
marc,11705,Train421,2026-07-13,11980,PENN STATION MARC sb,2026-07-13T12:30:00Z,2026-07-13T12:30:00Z,NA,NA,2026-07-13T12:58:36Z,62.8
marc,11705,Train421,2026-07-13,11958,UNION STATION MARC Washington,NA,NA,2026-07-13T13:32:00Z,2026-07-13T13:32:00Z,2026-07-13T12:58:36Z,62.8
marc,11705,Train525,2026-07-13,11980,PENN STATION MARC sb,2026-07-13T13:30:00Z,2026-07-13T13:32:38Z,2026-07-13T13:28:00Z,2026-07-13T13:30:38Z,2026-07-13T12:58:36Z,62.8
marc,11705,Train525,2026-07-13,11958,UNION STATION MARC Washington,NA,NA,2026-07-13T14:28:00Z,2026-07-13T14:30:38Z,2026-07-13T12:58:36Z,62.8
marc,11705,Train612,2026-07-13,11958,UNION STATION MARC Washington,2026-07-13T12:20:00Z,2026-07-13T12:21:50Z,NA,NA,2026-07-13T12:58:36Z,62.8
marc,11705,Train612,2026-07-13,12002,PENN STATION MARC nb,2026-07-13T13:20:00Z,2026-07-13T13:28:31Z,2026-07-13T13:17:00Z,2026-07-13T13:25:31Z,2026-07-13T12:58:36Z,62.8
marc,11705,Train610,2026-07-13,11958,UNION STATION MARC Washington,2026-07-13T11:50:00Z,2026-07-13T11:51:04Z,NA,NA,2026-07-13T12:58:36Z,62.8
marc,11705,Train610,2026-07-13,12002,PENN STATION MARC nb,2026-07-13T12:46:00Z,2026-07-13T12:39:54Z,2026-07-13T12:40:15Z,2026-07-13T12:39:12Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,66,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T02:51:00Z,2026-07-13T02:54:00Z,2026-07-13T02:49:00Z,2026-07-13T02:50:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,66,2026-07-13,WAS,Washington Union Station,2026-07-13T02:00:00Z,2026-07-13T02:10:00Z,2026-07-13T01:28:00Z,2026-07-13T01:38:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,67,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T10:04:00Z,2026-07-13T10:04:00Z,2026-07-13T10:02:00Z,2026-07-13T10:01:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,67,2026-07-13,WAS,Washington Union Station,2026-07-13T11:20:00Z,2026-07-13T11:20:00Z,2026-07-13T10:54:00Z,2026-07-13T10:48:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,86,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T13:32:00Z,2026-07-13T13:30:00Z,2026-07-13T13:30:00Z,2026-07-13T13:30:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,86,2026-07-13,WAS,Washington Union Station,2026-07-13T12:50:00Z,2026-07-13T12:29:00Z,2026-07-13T12:18:00Z,2026-07-13T12:29:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,93,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T20:39:00Z,2026-07-13T20:39:00Z,2026-07-13T20:37:00Z,2026-07-13T20:37:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,93,2026-07-13,WAS,Washington Union Station,2026-07-13T22:05:00Z,2026-07-13T22:05:00Z,2026-07-13T21:25:00Z,2026-07-13T21:25:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,94,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T18:43:00Z,2026-07-13T18:41:00Z,2026-07-13T18:41:00Z,2026-07-13T18:41:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,94,2026-07-13,WAS,Washington Union Station,2026-07-13T18:00:00Z,2026-07-13T17:23:00Z,2026-07-13T17:23:00Z,2026-07-13T17:23:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,95,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T17:29:00Z,2026-07-13T17:20:00Z,2026-07-13T17:20:00Z,2026-07-13T17:20:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,95,2026-07-13,WAS,Washington Union Station,2026-07-13T18:35:00Z,2026-07-13T18:08:00Z,2026-07-13T18:07:00Z,2026-07-13T18:08:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,112,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T12:22:00Z,2026-07-13T12:26:00Z,2026-07-13T12:20:00Z,2026-07-13T12:23:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,112,2026-07-13,WAS,Washington Union Station,2026-07-13T11:40:00Z,2026-07-13T11:40:00Z,2026-07-13T11:40:00Z,2026-07-13T11:40:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,113,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T13:07:00Z,2026-07-13T13:22:00Z,2026-07-13T13:05:00Z,2026-07-13T13:22:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,113,2026-07-13,WAS,Washington Union Station,2026-07-13T13:53:00Z,2026-07-13T13:59:00Z,2026-07-13T13:53:00Z,2026-07-13T13:59:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,125,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T18:28:00Z,2026-07-13T18:28:00Z,2026-07-13T18:25:00Z,2026-07-13T18:26:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,125,2026-07-13,WAS,Washington Union Station,2026-07-13T19:50:00Z,2026-07-13T19:50:00Z,2026-07-13T19:11:00Z,2026-07-13T19:11:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,130,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T11:05:00Z,2026-07-13T11:06:00Z,2026-07-13T11:03:00Z,2026-07-13T10:59:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,130,2026-07-13,WAS,Washington Union Station,2026-07-13T10:20:00Z,2026-07-13T10:20:00Z,2026-07-13T10:20:00Z,2026-07-13T10:20:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,141,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T15:00:00Z,2026-07-13T15:00:00Z,2026-07-13T14:58:00Z,2026-07-13T15:00:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,141,2026-07-13,WAS,Washington Union Station,2026-07-13T15:41:00Z,2026-07-13T15:40:00Z,2026-07-13T15:41:00Z,2026-07-13T15:40:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,151,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T10:10:00Z,2026-07-13T10:16:00Z,2026-07-13T10:08:00Z,2026-07-13T10:14:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,151,2026-07-13,WAS,Washington Union Station,2026-07-13T11:30:00Z,2026-07-13T11:30:00Z,2026-07-13T10:58:00Z,2026-07-13T10:52:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,170,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T09:44:00Z,2026-07-13T09:51:00Z,2026-07-13T09:42:00Z,2026-07-13T09:49:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,170,2026-07-13,WAS,Washington Union Station,2026-07-13T09:05:00Z,2026-07-13T09:05:00Z,2026-07-13T09:05:00Z,2026-07-13T09:05:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,171,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T19:35:00Z,2026-07-13T19:32:00Z,2026-07-13T19:32:00Z,2026-07-13T19:32:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,171,2026-07-13,WAS,Washington Union Station,2026-07-13T21:00:00Z,2026-07-13T20:27:00Z,2026-07-13T20:27:00Z,2026-07-13T20:27:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,172,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T11:50:00Z,2026-07-13T11:52:00Z,2026-07-13T11:48:00Z,2026-07-13T11:50:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,172,2026-07-13,WAS,Washington Union Station,2026-07-13T11:06:00Z,2026-07-13T11:06:00Z,2026-07-13T11:06:00Z,2026-07-13T11:06:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,178,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T20:39:00Z,2026-07-13T20:39:00Z,2026-07-13T20:37:00Z,2026-07-13T20:37:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,178,2026-07-13,WAS,Washington Union Station,2026-07-13T19:56:00Z,2026-07-13T19:56:00Z,2026-07-13T18:55:00Z,2026-07-13T18:55:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,181,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T12:22:00Z,2026-07-13T12:23:00Z,2026-07-13T12:19:00Z,2026-07-13T12:19:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,181,2026-07-13,WAS,Washington Union Station,2026-07-13T13:02:00Z,2026-07-13T12:54:00Z,2026-07-13T13:02:00Z,2026-07-13T12:54:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,182,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T14:13:00Z,2026-07-13T14:13:00Z,2026-07-13T14:11:00Z,2026-07-13T14:11:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,182,2026-07-13,WAS,Washington Union Station,2026-07-13T13:29:00Z,2026-07-13T13:29:00Z,2026-07-13T13:29:00Z,2026-07-13T13:29:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,183,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T14:20:00Z,2026-07-13T14:17:00Z,2026-07-13T14:17:00Z,2026-07-13T14:17:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,183,2026-07-13,WAS,Washington Union Station,2026-07-13T15:04:00Z,2026-07-13T15:00:00Z,2026-07-13T15:04:00Z,2026-07-13T15:00:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,185,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T16:07:00Z,2026-07-13T16:07:00Z,2026-07-13T16:05:00Z,2026-07-13T16:05:00Z,2026-07-13T12:58:36Z,62.8
amtrak,NER,185,2026-07-13,WAS,Washington Union Station,2026-07-13T16:52:00Z,2026-07-13T16:52:00Z,2026-07-13T16:52:00Z,2026-07-13T16:47:00Z,2026-07-13T12:58:36Z,62.8
marc,11705,Train421,2026-07-13,11980,PENN STATION MARC sb,2026-07-13T12:30:00Z,2026-07-13T12:30:00Z,NA,NA,2026-07-13T13:01:38Z,62.9
marc,11705,Train421,2026-07-13,11958,UNION STATION MARC Washington,NA,NA,2026-07-13T13:32:00Z,2026-07-13T13:32:00Z,2026-07-13T13:01:38Z,62.9
marc,11705,Train412,2026-07-13,12002,PENN STATION MARC nb,NA,NA,2026-07-13T13:56:00Z,2026-07-13T13:56:00Z,2026-07-13T13:01:38Z,62.9
marc,11705,Train423,2026-07-13,11958,UNION STATION MARC Washington,NA,NA,2026-07-13T14:03:00Z,2026-07-13T14:03:00Z,2026-07-13T13:01:38Z,62.9
marc,11705,Train525,2026-07-13,11980,PENN STATION MARC sb,2026-07-13T13:30:00Z,2026-07-13T13:32:40Z,2026-07-13T13:28:00Z,2026-07-13T13:30:40Z,2026-07-13T13:01:38Z,62.9
marc,11705,Train525,2026-07-13,11958,UNION STATION MARC Washington,NA,NA,2026-07-13T14:28:00Z,2026-07-13T14:30:40Z,2026-07-13T13:01:38Z,62.9
marc,11705,Train612,2026-07-13,11958,UNION STATION MARC Washington,2026-07-13T12:20:00Z,2026-07-13T12:21:50Z,NA,NA,2026-07-13T13:01:38Z,62.9
marc,11705,Train612,2026-07-13,12002,PENN STATION MARC nb,2026-07-13T13:20:00Z,2026-07-13T13:30:03Z,2026-07-13T13:17:00Z,2026-07-13T13:27:03Z,2026-07-13T13:01:38Z,62.9
marc,11705,Train610,2026-07-13,11958,UNION STATION MARC Washington,2026-07-13T11:50:00Z,2026-07-13T11:51:04Z,NA,NA,2026-07-13T13:01:38Z,62.9
marc,11705,Train610,2026-07-13,12002,PENN STATION MARC nb,2026-07-13T12:46:00Z,2026-07-13T12:39:54Z,2026-07-13T12:40:15Z,2026-07-13T12:39:12Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,66,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T02:51:00Z,2026-07-13T02:54:00Z,2026-07-13T02:49:00Z,2026-07-13T02:50:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,66,2026-07-13,WAS,Washington Union Station,2026-07-13T02:00:00Z,2026-07-13T02:10:00Z,2026-07-13T01:28:00Z,2026-07-13T01:38:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,67,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T10:04:00Z,2026-07-13T10:04:00Z,2026-07-13T10:02:00Z,2026-07-13T10:01:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,67,2026-07-13,WAS,Washington Union Station,2026-07-13T11:20:00Z,2026-07-13T11:20:00Z,2026-07-13T10:54:00Z,2026-07-13T10:48:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,86,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T13:32:00Z,2026-07-13T13:30:00Z,2026-07-13T13:30:00Z,2026-07-13T13:30:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,86,2026-07-13,WAS,Washington Union Station,2026-07-13T12:50:00Z,2026-07-13T12:29:00Z,2026-07-13T12:18:00Z,2026-07-13T12:29:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,93,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T20:39:00Z,2026-07-13T20:39:00Z,2026-07-13T20:37:00Z,2026-07-13T20:37:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,93,2026-07-13,WAS,Washington Union Station,2026-07-13T22:05:00Z,2026-07-13T22:05:00Z,2026-07-13T21:25:00Z,2026-07-13T21:25:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,94,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T18:43:00Z,2026-07-13T18:41:00Z,2026-07-13T18:41:00Z,2026-07-13T18:41:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,94,2026-07-13,WAS,Washington Union Station,2026-07-13T18:00:00Z,2026-07-13T17:23:00Z,2026-07-13T17:23:00Z,2026-07-13T17:23:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,95,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T17:29:00Z,2026-07-13T17:20:00Z,2026-07-13T17:20:00Z,2026-07-13T17:20:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,95,2026-07-13,WAS,Washington Union Station,2026-07-13T18:35:00Z,2026-07-13T18:08:00Z,2026-07-13T18:07:00Z,2026-07-13T18:08:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,112,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T12:22:00Z,2026-07-13T12:26:00Z,2026-07-13T12:20:00Z,2026-07-13T12:23:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,112,2026-07-13,WAS,Washington Union Station,2026-07-13T11:40:00Z,2026-07-13T11:40:00Z,2026-07-13T11:40:00Z,2026-07-13T11:40:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,113,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T13:07:00Z,2026-07-13T13:22:00Z,2026-07-13T13:05:00Z,2026-07-13T13:22:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,113,2026-07-13,WAS,Washington Union Station,2026-07-13T13:53:00Z,2026-07-13T13:59:00Z,2026-07-13T13:53:00Z,2026-07-13T13:59:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,125,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T18:28:00Z,2026-07-13T18:28:00Z,2026-07-13T18:25:00Z,2026-07-13T18:26:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,125,2026-07-13,WAS,Washington Union Station,2026-07-13T19:50:00Z,2026-07-13T19:50:00Z,2026-07-13T19:11:00Z,2026-07-13T19:11:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,130,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T11:05:00Z,2026-07-13T11:06:00Z,2026-07-13T11:03:00Z,2026-07-13T10:59:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,130,2026-07-13,WAS,Washington Union Station,2026-07-13T10:20:00Z,2026-07-13T10:20:00Z,2026-07-13T10:20:00Z,2026-07-13T10:20:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,141,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T15:00:00Z,2026-07-13T15:00:00Z,2026-07-13T14:58:00Z,2026-07-13T15:00:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,141,2026-07-13,WAS,Washington Union Station,2026-07-13T15:41:00Z,2026-07-13T15:40:00Z,2026-07-13T15:41:00Z,2026-07-13T15:40:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,151,2026-07-13,BAL,Baltimore Penn Station,2026-07-13T10:10:00Z,2026-07-13T10:16:00Z,2026-07-13T10:08:00Z,2026-07-13T10:14:00Z,2026-07-13T13:01:38Z,62.9
amtrak,NER,151,2026-07-13,WAS,Washington Union Station,2026-07-13T11:30:00Z,2026-07-13T11:30:00Z,2026-07-13T10:58:00Z,2026-07-13T10:52:00Z,2026-07-13T13:01:38Z,62.9
